Early embryo	Middle embryo	Late embryo	Larva	Pupae.Adult
FBgn0030121	FBgn0013720	FBgn0051522	FBgn0003374	FBgn0030823
FBgn0027841	FBgn0010452	FBgn0033587	FBgn0260226	FBgn0051804
FBgn0036536	FBgn0036198	FBgn0036600	FBgn0035789	FBgn0039799
FBgn0003042	FBgn0000575	FBgn0035543	FBgn0053460	FBgn0250834
FBgn0030035	FBgn0082951	FBgn0011722	FBgn0050046	FBgn0262480
FBgn0050476	FBgn0035956	FBgn0052677	FBgn0034191	FBgn0033893
FBgn0003525	FBgn0033458	FBgn0030508	FBgn0051075	FBgn0031749
FBgn0039019	FBgn0086910	FBgn0039833	FBgn0034507	FBgn0262996
FBgn0034425	FBgn0027095	FBgn0263314	FBgn0025620	FBgn0052106
FBgn0031144	FBgn0013263	FBgn0032252	FBgn0002531	FBgn0037862
FBgn0034908	FBgn0051800	FBgn0031324	FBgn0004592	FBgn0259917
FBgn0039128	FBgn0050259	FBgn0034622	FBgn0030073	FBgn0051679
FBgn0024227	FBgn0035954	FBgn0000363	FBgn0038440	FBgn0037398
FBgn0004106	FBgn0028789	FBgn0038498	FBgn0036843	FBgn0033701
FBgn0039338	FBgn0262994	FBgn0032860	FBgn0037913	FBgn0034327
FBgn0025674	FBgn0038150	FBgn0051719	FBgn0000565	FBgn0050429
FBgn0031070	FBgn0003430	FBgn0035317	FBgn0036101	FBgn0031733
FBgn0037301	FBgn0015721	FBgn0033405	FBgn0262587	FBgn0051798
FBgn0030657	FBgn0039101	FBgn0030742	FBgn0086608	FBgn0039812
FBgn0005649	FBgn0262576	FBgn0263076	FBgn0039817	FBgn0031279
FBgn0037661	FBgn0002543	FBgn0028573	FBgn0028515	FBgn0038078
FBgn0037688	FBgn0033032	FBgn0020258	FBgn0262023	FBgn0031785
FBgn0027620	FBgn0040385	FBgn0015400	FBgn0053465	FBgn0040684
FBgn0037109	FBgn0039303	FBgn0262475	FBgn0027578	FBgn0053125
FBgn0003687	FBgn0031453	FBgn0038510	FBgn0041630	FBgn0034099
FBgn0086444	FBgn0052182	FBgn0035785	FBgn0031092	FBgn0262819
FBgn0034722	FBgn0031268	FBgn0028422	FBgn0019952	FBgn0052086
FBgn0054008	FBgn0032420	FBgn0002023	FBgn0050489	FBgn0036723
FBgn0037554	FBgn0002985	FBgn0032416	FBgn0261989	FBgn0030814
FBgn0027889	FBgn0003963	FBgn0039596	FBgn0003961	FBgn0034833
FBgn0035520	FBgn0260440	FBgn0030752	FBgn0036550	FBgn0038124
FBgn0036818	FBgn0023214	FBgn0263316	FBgn0085322	FBgn0032065
FBgn0032877	FBgn0032421	FBgn0036606	FBgn0028946	FBgn0034825
FBgn0011474	FBgn0014179	FBgn0039490	FBgn0044048	FBgn0052026
FBgn0035829	FBgn0050077	FBgn0085214	FBgn0025454	FBgn0037385
FBgn0038760	FBgn0035656	FBgn0035557	FBgn0032684	FBgn0037994
FBgn0034000	FBgn0014857	FBgn0036235	FBgn0020513	FBgn0033283
FBgn0027914	FBgn0038545	FBgn0262964	FBgn0038038	FBgn0038008
FBgn0024330	FBgn0034083	FBgn0038727	FBgn0003372	FBgn0034681
FBgn0024432	FBgn0041706	FBgn0259226	FBgn0262965	FBgn0037388
FBgn0036184	FBgn0003117	FBgn0035192	FBgn0015221	FBgn0052437
FBgn0030322	FBgn0039116	FBgn0085319	FBgn0053926	FBgn0259794
FBgn0037263	FBgn0028707	FBgn0017590	FBgn0034543	FBgn0085454
FBgn0024371	FBgn0040296	FBgn0029995	FBgn0035409	FBgn0053140
FBgn0036987	FBgn0004108	FBgn0036610	FBgn0041711	FBgn0051533
FBgn0039120	FBgn0038320	FBgn0003206	FBgn0262530	FBgn0262960
FBgn0036915	FBgn0031904	FBgn0039429	FBgn0038492	FBgn0034206
FBgn0011692	FBgn0011592	FBgn0034391	FBgn0034997	FBgn0085199
FBgn0038301	FBgn0042111	FBgn0050446	FBgn0050082	FBgn0029726
FBgn0031287	FBgn0044028	FBgn0004574	FBgn0038113	FBgn0039070
FBgn0261881	FBgn0001320	FBgn0026384	FBgn0040001	FBgn0085303
FBgn0003459	FBgn0032361	FBgn0259938	FBgn0030357	FBgn0026197
FBgn0051156	FBgn0015561	FBgn0040395	FBgn0033725	FBgn0260996
FBgn0042085	FBgn0035378	FBgn0035636	FBgn0034052	FBgn0037857
FBgn0027617	FBgn0039039	FBgn0040699	FBgn0033717	FBgn0003132
FBgn0033527	FBgn0002735	FBgn0038967	FBgn0050277	FBgn0033274
FBgn0031413	FBgn0000577	FBgn0024232	FBgn0039313	FBgn0036497
FBgn0085435	FBgn0004828	FBgn0036593	FBgn0033821	FBgn0037860
FBgn0260986	FBgn0010109	FBgn0263038	FBgn0003388	FBgn0032590
FBgn0036519	FBgn0001148	FBgn0035921	FBgn0039151	FBgn0030578
FBgn0034707	FBgn0020240	FBgn0031762	FBgn0039811	FBgn0037464
FBgn0036994	FBgn0262897	FBgn0034481	FBgn0035868	FBgn0039518
FBgn0026873	FBgn0027108	FBgn0262001	FBgn0030927	FBgn0036830
FBgn0035754	FBgn0052533	FBgn0250785	FBgn0037786	FBgn0029501
FBgn0026598	FBgn0052865	FBgn0030591	FBgn0041182	FBgn0032109
FBgn0035838	FBgn0025678	FBgn0016920	FBgn0029823	FBgn0035004
FBgn0036826	FBgn0028402	FBgn0032825	FBgn0020381	FBgn0250817
FBgn0031309	FBgn0002525	FBgn0034012	FBgn0051076	FBgn0032709
FBgn0036062	FBgn0002592	FBgn0033049	FBgn0030876	FBgn0031332
FBgn0028919	FBgn0250867	FBgn0050053	FBgn0034996	FBgn0028669
FBgn0024191	FBgn0046687	FBgn0051823	FBgn0033133	FBgn0038018
FBgn0027548	FBgn0051195	FBgn0010611	FBgn0000210	FBgn0013809
FBgn0027873	FBgn0028894	FBgn0039756	FBgn0036320	FBgn0039491
FBgn0041186	FBgn0026319	FBgn0035798	FBgn0032913	FBgn0051693
FBgn0259784	FBgn0026320	FBgn0030576	FBgn0036023	FBgn0030952
FBgn0025109	FBgn0003892	FBgn0033614	FBgn0051370	FBgn0037502
FBgn0035318	FBgn0038272	FBgn0263079	FBgn0030029	FBgn0032364
FBgn0260932	FBgn0000117	FBgn0036592	FBgn0050074	FBgn0036784
FBgn0037027	FBgn0037703	FBgn0030592	FBgn0028864	FBgn0051815
FBgn0037773	FBgn0002631	FBgn0262973	FBgn0051102	FBgn0039369
FBgn0034926	FBgn0024249	FBgn0030541	FBgn0031558	FBgn0036310
FBgn0046222	FBgn0036459	FBgn0010051	FBgn0003377	FBgn0032471
FBgn0039730	FBgn0004861	FBgn0035039	FBgn0040396	FBgn0033831
FBgn0053213	FBgn0039113	FBgn0032209	FBgn0030326	FBgn0039421
FBgn0031609	FBgn0000547	FBgn0030947	FBgn0052107	FBgn0039366
FBgn0030813	FBgn0026239	FBgn0003499	FBgn0040850	FBgn0025115
FBgn0035851	FBgn0041087	FBgn0034558	FBgn0028872	FBgn0038258
FBgn0031391	FBgn0020257	FBgn0032891	FBgn0000535	FBgn0035003
FBgn0003448	FBgn0025790	FBgn0036202	FBgn0038966	FBgn0039577
FBgn0020305	FBgn0037831	FBgn0042110	FBgn0039114	FBgn0050416
