Early embryo	Middle embryo	Late embryo
ENSMUSG00000022012	ENSMUSG00000026207	ENSMUSG00000057174
ENSMUSG00000089685	ENSMUSG00000086328	ENSMUSG00000042212
ENSMUSG00000024008	ENSMUSG00000093769	ENSMUSG00000050870
ENSMUSG00000097243	ENSMUSG00000096793	ENSMUSG00000017914
ENSMUSG00000096747	ENSMUSG00000058745	ENSMUSG00000028460
ENSMUSG00000021874	ENSMUSG00000091756	ENSMUSG00000057855
ENSMUSG00000071202	ENSMUSG00000051413	ENSMUSG00000059901
ENSMUSG00000071669	ENSMUSG00000034848	ENSMUSG00000025528
ENSMUSG00000039639	ENSMUSG00000029360	ENSMUSG00000059606
ENSMUSG00000012187	ENSMUSG00000067724	ENSMUSG00000021148
ENSMUSG00000068227	ENSMUSG00000032253	ENSMUSG00000076747
ENSMUSG00000023032	ENSMUSG00000020680	ENSMUSG00000072601
ENSMUSG00000020804	ENSMUSG00000090363	ENSMUSG00000076480
ENSMUSG00000024190	ENSMUSG00000085093	ENSMUSG00000025557
ENSMUSG00000090952	ENSMUSG00000044348	ENSMUSG00000062433
ENSMUSG00000026596	ENSMUSG00000031520	ENSMUSG00000031750
ENSMUSG00000085634	ENSMUSG00000070348	ENSMUSG00000042459
ENSMUSG00000024552	ENSMUSG00000063364	ENSMUSG00000030963
ENSMUSG00000074695	ENSMUSG00000097067	ENSMUSG00000020395
ENSMUSG00000085857	ENSMUSG00000022120	ENSMUSG00000096380
ENSMUSG00000034872	ENSMUSG00000083897	ENSMUSG00000076476
ENSMUSG00000086932	ENSMUSG00000022106	ENSMUSG00000023122
ENSMUSG00000049588	ENSMUSG00000040289	ENSMUSG00000038295
ENSMUSG00000085585	ENSMUSG00000042699	ENSMUSG00000053268
ENSMUSG00000032671	ENSMUSG00000053049	ENSMUSG00000037145
ENSMUSG00000041995	ENSMUSG00000081564	ENSMUSG00000023224
ENSMUSG00000087039	ENSMUSG00000081739	ENSMUSG00000052520
ENSMUSG00000041798	ENSMUSG00000079560	ENSMUSG00000068074
ENSMUSG00000054477	ENSMUSG00000049823	ENSMUSG00000089960
ENSMUSG00000056293	ENSMUSG00000014773	ENSMUSG00000062400
ENSMUSG00000034471	ENSMUSG00000046432	ENSMUSG00000057417
ENSMUSG00000022351	ENSMUSG00000021302	ENSMUSG00000056350
ENSMUSG00000068083	ENSMUSG00000001761	ENSMUSG00000054417
ENSMUSG00000097835	ENSMUSG00000082467	ENSMUSG00000090515
ENSMUSG00000097727	ENSMUSG00000084140	ENSMUSG00000066108
ENSMUSG00000010608	ENSMUSG00000082160	ENSMUSG00000031710
ENSMUSG00000048982	ENSMUSG00000026782	ENSMUSG00000031884
ENSMUSG00000086170	ENSMUSG00000051379	ENSMUSG00000094024
ENSMUSG00000085008	ENSMUSG00000087507	ENSMUSG00000067615
ENSMUSG00000078258	ENSMUSG00000089713	ENSMUSG00000076462
ENSMUSG00000022426	ENSMUSG00000022485	ENSMUSG00000026531
ENSMUSG00000043939	ENSMUSG00000078484	ENSMUSG00000050239
ENSMUSG00000043623	ENSMUSG00000037674	ENSMUSG00000094915
ENSMUSG00000090087	ENSMUSG00000096578	ENSMUSG00000004939
ENSMUSG00000044390	ENSMUSG00000036867	ENSMUSG00000040127
ENSMUSG00000079722	ENSMUSG00000097464	ENSMUSG00000092618
ENSMUSG00000021395	ENSMUSG00000061607	ENSMUSG00000047586
ENSMUSG00000022441	ENSMUSG00000090582	ENSMUSG00000068289
ENSMUSG00000053624	ENSMUSG00000037172	ENSMUSG00000074435
ENSMUSG00000075137	ENSMUSG00000082393	ENSMUSG00000022878
ENSMUSG00000026580	ENSMUSG00000040204	ENSMUSG00000030413
ENSMUSG00000075705	ENSMUSG00000023007	ENSMUSG00000039710
ENSMUSG00000024963	ENSMUSG00000038079	ENSMUSG00000069718
ENSMUSG00000047384	ENSMUSG00000082241	ENSMUSG00000021779
ENSMUSG00000041849	ENSMUSG00000085261	ENSMUSG00000042845
ENSMUSG00000082614	ENSMUSG00000074480	ENSMUSG00000020010
ENSMUSG00000085019	ENSMUSG00000031327	ENSMUSG00000095992
ENSMUSG00000091476	ENSMUSG00000096924	ENSMUSG00000074919
ENSMUSG00000037447	ENSMUSG00000051515	ENSMUSG00000024653
