Cleav.Blastula	Gastrula	Segmentation	Pharyngula	Larva	Juvenile	Adult
ENSDARG00000029374	ENSDARG00000014147	ENSDARG00000020884	ENSDARG00000031222	ENSDARG00000038018	ENSDARG00000053424	ENSDARG00000073994
ENSDARG00000029501	ENSDARG00000014244	ENSDARG00000020946	ENSDARG00000031316	ENSDARG00000038373	ENSDARG00000053481	ENSDARG00000074049
ENSDARG00000029761	ENSDARG00000014277	ENSDARG00000021151	ENSDARG00000031372	ENSDARG00000038574	ENSDARG00000053502	ENSDARG00000074205
ENSDARG00000029881	ENSDARG00000014323	ENSDARG00000021232	ENSDARG00000032083	ENSDARG00000038655	ENSDARG00000053512	ENSDARG00000074265
ENSDARG00000030224	ENSDARG00000014366	ENSDARG00000021336	ENSDARG00000032578	ENSDARG00000038770	ENSDARG00000053845	ENSDARG00000074547
ENSDARG00000030448	ENSDARG00000014472	ENSDARG00000021432	ENSDARG00000033400	ENSDARG00000038974	ENSDARG00000054324	ENSDARG00000074950
ENSDARG00000030981	ENSDARG00000014498	ENSDARG00000021664	ENSDARG00000033599	ENSDARG00000039220	ENSDARG00000054609	ENSDARG00000075219
ENSDARG00000031064	ENSDARG00000014522	ENSDARG00000021720	ENSDARG00000033978	ENSDARG00000039385	ENSDARG00000054753	ENSDARG00000075632
ENSDARG00000031095	ENSDARG00000014571	ENSDARG00000021916	ENSDARG00000034211	ENSDARG00000039534	ENSDARG00000054898	ENSDARG00000075710
ENSDARG00000031382	ENSDARG00000014591	ENSDARG00000022213	ENSDARG00000034264	ENSDARG00000040048	ENSDARG00000055053	ENSDARG00000075854
ENSDARG00000031434	ENSDARG00000014722	ENSDARG00000022297	ENSDARG00000034572	ENSDARG00000040100	ENSDARG00000055175	ENSDARG00000076731
ENSDARG00000032056	ENSDARG00000014817	ENSDARG00000022399	ENSDARG00000034668	ENSDARG00000040274	ENSDARG00000055186	ENSDARG00000078201
ENSDARG00000032072	ENSDARG00000014986	ENSDARG00000022858	ENSDARG00000034896	ENSDARG00000040291	ENSDARG00000056178	ENSDARG00000078364
ENSDARG00000032103	ENSDARG00000015111	ENSDARG00000023031	ENSDARG00000034933	ENSDARG00000041150	ENSDARG00000056411	ENSDARG00000078472
ENSDARG00000032856	ENSDARG00000015206	ENSDARG00000023520	ENSDARG00000035056	ENSDARG00000041176	ENSDARG00000056443	ENSDARG00000078871
ENSDARG00000032876	ENSDARG00000015221	ENSDARG00000023542	ENSDARG00000035126	ENSDARG00000041205	ENSDARG00000056551	ENSDARG00000078999
ENSDARG00000033489	ENSDARG00000015230	ENSDARG00000023952	ENSDARG00000035175	ENSDARG00000041295	ENSDARG00000056625	ENSDARG00000079002
ENSDARG00000034060	ENSDARG00000015325	ENSDARG00000024416	ENSDARG00000035253	ENSDARG00000041379	ENSDARG00000056726	ENSDARG00000079272
ENSDARG00000034227	ENSDARG00000015403	ENSDARG00000025301	ENSDARG00000035290	ENSDARG00000041627	ENSDARG00000057338	ENSDARG00000081322
ENSDARG00000034262	ENSDARG00000015422	ENSDARG00000025641	ENSDARG00000035377	ENSDARG00000041660	ENSDARG00000057536	ENSDARG00000086603
ENSDARG00000034480	ENSDARG00000015427	ENSDARG00000026395	ENSDARG00000035715	ENSDARG00000041864	ENSDARG00000057598	ENSDARG00000087523
ENSDARG00000034734	ENSDARG00000015472	ENSDARG00000026482	ENSDARG00000035914	ENSDARG00000042107	ENSDARG00000058064	ENSDARG00000087569
ENSDARG00000034893	ENSDARG00000015538	ENSDARG00000026599	ENSDARG00000036036	ENSDARG00000042397	ENSDARG00000058218	ENSDARG00000088397
ENSDARG00000035009	ENSDARG00000015543	ENSDARG00000027131	ENSDARG00000036227	ENSDARG00000042703	ENSDARG00000058248	ENSDARG00000088500
ENSDARG00000035184	ENSDARG00000015611	ENSDARG00000027310	ENSDARG00000036295	ENSDARG00000042846	ENSDARG00000058332	ENSDARG00000088656
ENSDARG00000035227	ENSDARG00000015709	ENSDARG00000028327	ENSDARG00000036375	ENSDARG00000042948	ENSDARG00000058556	ENSDARG00000088918
ENSDARG00000035282	ENSDARG00000015759	ENSDARG00000028335	ENSDARG00000036394	ENSDARG00000042970	ENSDARG00000058799	ENSDARG00000089008
ENSDARG00000035352	ENSDARG00000015824	ENSDARG00000029157	ENSDARG00000036855	ENSDARG00000043122	ENSDARG00000059110	ENSDARG00000089451
ENSDARG00000035452	ENSDARG00000015835	ENSDARG00000029179	ENSDARG00000037059	ENSDARG00000043141	ENSDARG00000059254	ENSDARG00000089463
ENSDARG00000035468	ENSDARG00000015851	ENSDARG00000029263	ENSDARG00000037283	ENSDARG00000043483	ENSDARG00000059282	ENSDARG00000089722
ENSDARG00000035532	ENSDARG00000015853	ENSDARG00000029524	ENSDARG00000037402	ENSDARG00000043662	ENSDARG00000059677	ENSDARG00000089952
ENSDARG00000035565	ENSDARG00000015907	ENSDARG00000029738	ENSDARG00000037423	ENSDARG00000043673	ENSDARG00000059944	ENSDARG00000090052
ENSDARG00000035595	ENSDARG00000015966	ENSDARG00000030110	ENSDARG00000037503	ENSDARG00000043835	ENSDARG00000059956	ENSDARG00000090851
ENSDARG00000035700	ENSDARG00000015990	ENSDARG00000030289	ENSDARG00000037639	ENSDARG00000043902	ENSDARG00000060051	ENSDARG00000090900
ENSDARG00000035771	ENSDARG00000016080	ENSDARG00000030367	ENSDARG00000037675	ENSDARG00000043961	ENSDARG00000060578	ENSDARG00000090932
ENSDARG00000035781	ENSDARG00000016302	ENSDARG00000030494	ENSDARG00000037845	ENSDARG00000044015	ENSDARG00000060838	ENSDARG00000091557
ENSDARG00000035905	ENSDARG00000016345	ENSDARG00000030703	ENSDARG00000037857	ENSDARG00000044053	ENSDARG00000060879	ENSDARG00000091995
ENSDARG00000035910	ENSDARG00000016405	ENSDARG00000030975	ENSDARG00000037889	ENSDARG00000044278	ENSDARG00000061805	ENSDARG00000092028
ENSDARG00000036065	ENSDARG00000016429	ENSDARG00000031138	ENSDARG00000037997	ENSDARG00000044280	ENSDARG00000061836	ENSDARG00000092191
ENSDARG00000036493	ENSDARG00000016484	ENSDARG00000031307	ENSDARG00000038225	ENSDARG00000044414	ENSDARG00000061858	ENSDARG00000092259
